Company url,Company Name,Exhibiting in Events,Intendency,Country,Category,Exhibited in Events,Company Details,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
https://gtm.whr.ai/internal/company/8b05b063388913f9cc2f5549b51fd73c,Ols Construction Supply,upcoming,very high,Turkey,Fashion & Beauty,Exhibit: 555,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/3e5673d533116e87a95682bf47a8a914,Carmi Flavors,upcoming,very high,"Edmonton, Canada",Food & Beverages,Exhibit: 59,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/6ceb570e191fa93330a7e34a09a6c8e3,"Angel Yeast Co., Ltd.",upcoming,very high,"Yichang, China",Food & Beverages,Exhibit: 59,"Angel Yeast is a global leader in the yeast and yeast extract industry, with a commitment to excellence and innovation spanning over three decades. They deliver unparalleled quality and taste to the food industry through science and technology.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/5130fb8b05d681d07e7f9991a8fe2fb3,HugeDomains.com,upcoming,very high,"Abuja, Nigeria",Fashion & Beauty,Exhibit: 1427,"Tianjin Lingang Port Group Co., Ltd. independently owns a 100,000-ton Dagu Sand channel and 26.5km of deepwater shoreline. It has built 34 berths above 10,000 tons, including 20 public berths for general cargo, liquid chemicals, and grain and oil. The company operates 16 of these berths.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/b99924d48fd133d433e22df3d7f53bf1,Archer Daniels Midland,upcoming,very high,"Rolle, Switzerland",Agriculture & Forestry,Exhibit: 160,"ADM is a global leader in nutrition and agricultural supply chains, helping unlock the power of nature to provide access to nutrition. They purchase, transport, and transform crops, connecting farmers to consumers and providing solutions for human and animal nutrition, as well as sustainable and renewable industrial products.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/bc0d14d3bef1e573d230c4e76a4f13c8,Laraon Engineers and Consultants (P) Ltd.,upcoming,very high,"Gurgaon, India",Food & Beverages,Exhibit: 95,"MULTIVAC is a leading global technology company that specializes in supplying packaging solutions for various industries, including food, pharmaceutical, medical, and industrial products. They offer a comprehensive range of packaging machines, labelling and printing solutions, inspection systems, automation solutions, and packaging materials.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/a24fa3487fd77d53e3e6fde65f853fcb,Beerenberg Pty Ltd,upcoming,very high,"Hahndorf, Australia",Food & Beverages,Exhibit: 15,"One of Australia's oldest family-owned jam, condiment, and sauce producers, still run by the sixth generation of the Paech family on their Hahndorf farm.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/aad52725078e21243b58a234a7460bb5,Flint and Flame,upcoming,very high,United Kingdom,Food & Beverages,Exhibit: 29,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/c4de9f367971395a6afc749b5fa8f0a3,"Yuyao Huayan Electrical Appliance Co., Ltd.",upcoming,high,"Ningbo, China",Industrial Engineering,Exhibit: 423,"World's leading B2B marketplace connecting buyers with suppliers, offering more than 7 million different products, business information of over 3 million buyers from 245 countries, effective trade tools.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/430cf40311e27c325d1563ef8bd155a9,Riverford Organic Home Delivery,very high,active,United Kingdom,Food & Beverages,Exhibit: 18,"Riverford is an agricultural, food production, and retail business based in UK.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/8ee417072383009292e943498bb8769e,Baader Food Processing Machinery,upcoming,very high,China,Food & Beverages,Exhibit: 32,"BAADER improves the world's food supply by providing future-proofed, superior processing solutions for fish, poultry, meat, and other food items, ensuring food availability while conserving resources, combining animal and alternative protein sources, and setting high standards in food safety, quality, and animal welfare.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/3d4a4d2dbfdedbd7479c424018fb085f,Myshopify,upcoming,very high,"Redondo Beach, United States",Arts & Crafts,Total Events: 2,Welcome to DaHuez! An amalgamation of beautifully captured art pieces that adorn your interior space. Every home speaks a language & so should be the beautiful pieces on your wall. A collection of beautifully captured art pieces that adorn your space. These curated Limited Edition Artworks come with the certificate of authenticity yet are Affordable.,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/480d396852e61d59f5448bd5e37ae1b4,GEA Africa Pty Ltd.,upcoming,very high,"Cape Town, South Africa",Food & Beverages,Total Events: 7,"GEA is one of the worldâ€™s largest systems suppliers for the food, beverage and pharmaceutical sectors. The company specializes in machinery, plants, process technology, components, and comprehensive services, enhancing the sustainability and efficiency of production processes globally.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/380e29d0ac8de74e5423f6f96804995c,Ingredion,upcoming,very high,"Nairobi, Kenya",Food & Beverages,Exhibit: 46,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/4ecdf3494cdf60908ef5bbe0a16aef6c,Bizerba Canada Inc.,upcoming,very high,"Hengelo, Netherlands",Food & Beverages,Exhibit: 82,"Bizerba is a family-owned and operated company since 1866. They specialize in manufacturing, retail, and technology industries. Laura, an operational buyer at Bizerba, shares her daily work experiences and offers tips for future colleagues.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/008f836ac5190cbb216c4965ae578ef0,BRIDOR,upcoming,very high,France,Food & Beverages,Exhibit: 46,"Bridor is a global company with over 30 years of baking expertise and industrial excellence, offering high-quality products inspired by various baking cultures in over 100 countries.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/b65404162729e248b782642fcdeca229,Pac Food Pty Ltd,upcoming,very high,"Brisbane, Australia",Food & Beverages,Exhibit: 15,"Pac Food started marketing packaging solutions for commercial kitchens from early 2009. At first, a complete range of cook chill bags was developed for several Central Production Units in Australia. These units predominantly produce food for aged care centers and hospitals and profit from long shelf life possibilities given by using the cook chill principle. Pac Food supplies 70, 100 and 115 micron co extruded packaging enabling shelf life for wet dishes from 1 week to 6-8 weeks. Soon after introducing cook chill bags, Pac Food developed a range of vacuum sealing bags andbiodegradable trolley covers. Pac Food's trolley covers are the first biodegradable covers in Oceania, using EPI as oxo biodegradable plastic additive technology. Click here for more info on EPI. In 2010, Pac Food started selling biodegradable PanCovers and took over the exclusive distribution of PanSaver Ovenable Panliners. New products to come in 2011 are Channel Bags (for domestic vacuum sealing machines), ScrubSaver Low Temperature Panliners and Shrink Bags. Pac Food has an office on the beautiful Sunshine Coast and warehouses some stock lines in the Sunshine Coast area. The majority of the stock is held in Brisbane, but we also have warehouses in Melbourne, Adelaide and Auckland, ensuring an Australia and NZ wide efficient and fast distribution. Call us for advice or samples, we propose you very competitive prices and a service you will not soon forget.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/93189ba014b8ee60d305f243049580ca,Detpak Middle East Trading LLC,upcoming,very high,"Adelaide, Australia",Food & Beverages,Exhibit: 24,"The Detmold Packaging Group was founded by Mr Colin Detmold in 1948 as a specialist converter of paper and board based products. Today, the Group is one of the largest manufacturers of paper and board packaging products globally. Detpak was formed in 1981 as the sales and marketing arm of the Group, dedicated to the foodservice industry. We expanded from Australia into the Singapore market in 1984, followed by South Asia in the late 1980's and China and North Asia in the mid 1990's. As the business grew, Detpak expanded into the Middle East in the late 1990's and into South Africa in the early 2000's. Today, our network spans Australia, New Zealand, Europe, the Middle East, Asia and South Africa. As part of the Detmold Group, we have 5 manufacturing facilities and 16 sales offices across the globe.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/7ac9e378a021b81412d98b6f6010886c,Beneo Inc,upcoming,very high,"Tienen, Belgium",Food & Beverages,Exhibit: 42,"BENEO is a global company with long-term experience in developing and producing functional ingredients from natural sources for food, feed, and pharmaceutical products. With over 1000 employees and a worldwide sales network, they ensure local support in over 80 countries.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/29340cd91c92558d1c50b2e0f53acd84,JL Lennard Ltd,very high,active,"Sydney, Australia",Food & Beverages,Exhibit: 12,"Founded in 1879, the JL Lennard Group is a family owned, fully Australian company which imports and distributes a range of products from world renowned manufacturers in Europe, America and Japan. JL Lennard operates throughout Australia as well as New Zealand and the Pacific Islands. In Australia, the JL Lennard Group is made up of four companies supplying",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/20c3b32b4b735ef8b72d8a412bed7be1,Eriez Magnetics Pty Ltd,upcoming,very high,"Erie, United States",Industrial Engineering,Exhibit: 89,Eriez designs develops manufactures and markets magnetic separation metal detection and materials feeding screening conveying and controlling equipment for over 80 process and metalworking industries.,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/75c773c8cc65f6c2018bfe4df16d6646,"Tze Loh Enterprise Co., Ltd.",upcoming,,"Changhua, Taiwan",Industrial Engineering,Exhibit: 206,This text does not provide any information about a company.,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/fc6a8890fcf80c4239c8671eae6374d5,OKF Corporation,upcoming,very high,"Seoul, South Korea",Food & Beverages,Exhibit: 18,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/69c6eb66b9ce776b49d1a9d1c825b819,Indie Author Book Expo,upcoming,very high,"Des Moines, United States",Arts & Crafts,Total Events: 14,"The Hong Kong Maker Club is a group of Makers focusing on robotics, electronics, and technologies. Inspired by the Make Movement, they organize the Hong Kong Mini Maker Faire to provide a platform for local makers to demonstrate their works, share ideas, and inspire each other. They aim to build networks and support each other's businesses and projects.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
https://gtm.whr.ai/internal/company/b10b3e84b39bcc2ce2f8116a5176380c,Bühler Alzenau GmbH,upcoming,very high,,Food & Beverages,Total Events: 2,"BÃ¼hler is a Swiss technology group driven by its purpose of creating innovations for a better world, focusing on balancing the needs of economy, humanity, and nature. The company covers basic needs for food and mobility every day through its solutions in various industries.",,,,,,False,False,False,0,0,0,skip,,,,,,,partial
