Industry,Category,Subcategory,Prompt,Product Name,Description,Status,Image File Name,Image URL,Notes,Email,Website,Title,Fair,Phone,email_is_business,website_ok,title_valid,tier1_passes,tier2_points,score,outreach_category,company_name,description,phone,address,linkedin_url,industry,enrichment_status
Apparel,Mens Wear,Shirts,"Ultra realistic product photography of men's formal shirts, neatly folded stack, clean minimal background, soft studio lighting, sharp focus, premium fashion catalog style, high detail fabric texture, no text, no watermark",Men's Formal Shirt Collection,Premium men's formal shirts styled for catalog-ready product photography.,Pending,mens_formal_shirt_collection.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Mens Wear,Suits,"Ultra realistic product shot of men's suits on hangers, clean studio background, soft lighting, luxury fashion catalog style, sharp focus, no text",Men's Tailored Suit Set,Luxury men's suit set with a polished studio-ready presentation.,Pending,mens_tailored_suit_set.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Mens Wear,T-Shirts,"Ultra realistic product shot of men's t-shirts folded stack, minimal background, soft shadows, high detail cotton texture, e-commerce style, no text",Men's Essential Cotton T-Shirt,Clean everyday men's t-shirt with soft cotton texture and retail appeal.,Pending,mens_essential_cotton_t_shirt.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Dresses,"Ultra realistic product photography of elegant women's dresses on hanger, soft studio lighting, minimal clean background, luxury fashion catalog style, no text",Women's Elegant Dress Collection,Graceful women's dresses designed for premium fashion catalog visuals.,Pending,womens_elegant_dress_collection.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Tops,"Ultra realistic product shot of women's tops folded neatly, clean background, soft lighting, premium e-commerce style, high detail fabric",Women's Everyday Top Collection,Versatile women's tops presented in a clean e-commerce style.,Pending,womens_everyday_top_collection.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Ladies Wear,Abaya,"Ultra realistic product shot of luxury abaya on hanger, minimal background, soft shadows, premium modest fashion style, no text",Luxury Modest Abaya,Refined abaya with a minimal premium look for modest fashion campaigns.,Pending,luxury_modest_abaya.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Kids Wear,Clothing,"Ultra realistic product photography of kids clothing folded stack, colorful garments, clean white background, soft lighting, e-commerce style, no text",Kids Casual Clothing Set,Colorful kids clothing arranged for bright and friendly storefront imagery.,Pending,kids_casual_clothing_set.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Apparel,Sportswear,Activewear,"Ultra realistic product shot of sportswear set, performance fabric visible, clean minimal background, soft studio lighting, modern athletic brand style",Performance Activewear Set,Modern sportswear set highlighting performance fabric and athletic styling.,Pending,performance_activewear_set.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Textiles,Denim,Jeans,"Ultra realistic product photography of premium denim jeans, neatly folded stack, rich indigo color, detailed stitching and texture, soft studio lighting, clean minimal background, no text",Premium Indigo Denim Jeans,"High-detail folded denim jeans emphasizing stitching, texture, and rich indigo tone.",Pending,premium_indigo_denim_jeans.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Textiles,Cotton,Fabric,"Ultra realistic product shot of cotton fabric rolls, clean minimal background, soft lighting, high detail texture, textile catalog style",Premium Cotton Fabric Roll,Soft cotton fabric rolls displayed with visible texture for textile merchandising.,Pending,premium_cotton_fabric_roll.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Accessories,Bags,Handbags,"Ultra realistic product photography of handbags, clean minimal background, soft lighting, premium fashion catalog style, sharp focus",Premium Handbag Collection,Elegant handbag assortment positioned for luxury accessory marketing.,Pending,premium_handbag_collection.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Accessories,Shoes,Footwear,"Ultra realistic product shot of shoes pair, clean minimal background, soft studio lighting, sharp focus, premium footwear catalog style",Classic Footwear Pair,Clean premium footwear pair arranged for sharp catalog presentation.,Pending,classic_footwear_pair.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Food,Grains,"Ultra realistic product photography of grains in bowls and sacks, clean minimal background, soft lighting, natural tones, no text",Premium Grains Pack,Natural grains styled in bowls and sacks for a clean FMCG product visual.,Pending,premium_grains_pack.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Food,Spices,"Ultra realistic product shot of spices in small bowls, vibrant colors, clean background, soft lighting, high detail",Signature Spice Collection,Vibrant spice assortment displayed with rich color and detail for retail campaigns.,Pending,signature_spice_collection.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
FMCG,Personal Care,Skincare,"Ultra realistic product photography of skincare bottles, minimal luxury background, soft lighting, high-end cosmetic style",Luxury Skincare Essentials,High-end skincare bottles presented with a minimal luxury cosmetic aesthetic.,Pending,luxury_skincare_essentials.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
Home Care,Cleaning,Detergents,"Ultra realistic product shot of detergent bottles, clean background, soft lighting, retail packaging style",Heavy-Duty Detergent Bottle,Retail-ready detergent packaging styled for clean home care product imagery.,Pending,heavy_duty_detergent_bottle.png,,,,,,,,False,False,False,0,0,0,skip,,,,,,,partial
